subspace,row,breakdown,insight type,measure,value,value of breakdown,sig
*;*;*;哈尔滨万象汇;*,14,project_code,correlation,sum of danger_number;count of risk_level=3,0.867305907,\,0.725772099
*;*;*;临沂万象汇;*,14,project_code,correlation,sum of danger_number;count of risk_level=3,0.958249094,\,0.867305907
*;*;*;北京五彩城;*,14,project_code,correlation,sum of danger_number;count of risk_level=3,-0.725772099,\,0.958249094
*;*;*;济南万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=3,0.852663583,\,0.816361638
*;*;*;天津万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=3,0.76548299,\,0.76548299
*;*;*;北京密云万象汇;*,13,project_code,correlation,sum of danger_number;count of risk_level=3,0.816361638,\,0.852663583
*;*;*;郑州万象城;*,13,project_code,correlation,sum of danger_number;count of risk_level=3,0.935223948,\,0.935223948
*;*;*;沈阳万象城;*,12,project_code,correlation,sum of danger_number;count of risk_level=3,0.630946243,\,0.194266805
*;*;*;日照万象汇;*,12,project_code,correlation,sum of danger_number;count of risk_level=3,0.884710192,\,0.884710192
*;*;*;青岛万象城;*,12,project_code,correlation,sum of danger_number;count of risk_level=3,-0.04942668,\,0.630946243
*;*;*;鞍山万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=3,0.966460268,\,0.682535412
*;*;*;兴化项目;*,11,project_code,correlation,sum of danger_number;count of risk_level=3,0.022032766,\,0.779512299
*;*;*;石家庄万象城;*,11,project_code,correlation,sum of danger_number;count of risk_level=3,0.779512299,\,0.966460268
*;*;*;青岛城阳万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=3,0.682535412,\,0.284640572
*;*;*;沈阳铁西万象汇;*,11,project_code,correlation,sum of danger_number;count of risk_level=3,0.284640572,\,0.220327662
ZRH(ZB)-2002-L01-A01-003-001;*;*;*;*,8,major_name,correlation,sum of danger_number;count of risk_level=1,0.855561652,\,0.855561652
ZRH(ZB)-2005-L01-A01-001-001;*;*;*;*,8,major_name,correlation,sum of danger_number;count of risk_level=1,0.945403724,\,0.945403724
ZRH(ZB)-2002-L01-A01-010;*;*;*;*,7,major_name,correlation,sum of danger_number;count of risk_level=1,0.666702526,\,0.666702526
ZRH(ZB)-2006-L01-B01-000-001-01;*;*;*;*,7,major_name,correlation,sum of danger_number;count of risk_level=1,0.721108027,\,0.721108027
ZRH(ZB)-2006-L01-B09-000-001;*;*;*;*,7,major_name,correlation,sum of danger_number;count of risk_level=1,0.946894878,\,0.946894878
ZRH(ZB)-1906-L01-B01-000-005-02;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.98704696,\,0.98704696
ZRH(ZB)-1906-L01-B01-000-005-06;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.868672842,\,0.868672842
ZRH(ZB)-2002-L01-A01-005-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.802258553,\,0.802258553
ZRH(ZB)-2002-L01-A01-006-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.581645896,\,0.581645896
ZRH(ZB)-2002-L01-A01-009-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.539483527,\,0.539483527
ZRH(ZB)-2002-L01-A01-016-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.712399881,\,0.712399881
ZRH(ZB)-2004-L01-A01-003-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.7325178,\,0.7325178
ZRH(ZB)-2005-L01-B02-000-001;*;*;*;*,6,major_name,correlation,sum of danger_number;count of risk_level=1,0.989853513,\,0.989853513
*;*;*;哈尔滨万象汇;*,14,project_code,correlation,sum of danger_number;count of risk_level=1,0.781142978,\,0.781142978
*;*;*;临沂万象汇;*,14,project_code,correlation,sum of danger_number;count of risk_level=1,0.98522503,\,0.98522503
*;*;*;北京五彩城;*,14,project_code,correlation,sum of danger_number;count of risk_level=1,0.913230194,\,0.913230194
